knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
K11a322,11,11,,12,1,11,matched,reported_only
K11a323,11,11,,12,1,11,unchecked,reported_only
K11a324,11,11,,11,0,11,unchecked,reported_only
K11a325,11,11,,,,11,unchecked,none
K11a326,11,10,,10,0,10,unchecked,reported_only
K11a327,11,11,,11,0,11,unchecked,reported_only
K11a328,11,11,,,,11,unchecked,none
K11a329,11,11,,,,11,unchecked,none
K11a33,11,11,,,,11,matched,none
K11a330,11,11,,12,1,11,unchecked,reported_only
K11a331,11,11,,,,11,unchecked,none
K11a332,11,10,,12,2,10,unchecked,reported_only
K11a333,11,11,,,,11,unchecked,none
K11a334,11,11,,,,11,unchecked,none
K11a335,11,11,,,,11,unchecked,none
K11a336,11,11,,,,11,unchecked,none
K11a337,11,11,,,,11,unchecked,none
K11a338,11,11,,,,11,unchecked,none
K11a339,11,11,,,,11,unchecked,none
K11a34,11,11,,12,1,11,unchecked,reported_only
K11a340,11,11,,,,11,unchecked,none
K11a341,11,11,,,,11,unchecked,none
K11a342,11,12,,,,12,unchecked,none
K11a343,11,12,,,,12,unchecked,none
K11a344,11,11,,11,0,11,matched,reported_only
K11a345,11,11,,11,0,11,unchecked,reported_only
K11a346,11,11,,12,1,11,unchecked,reported_only
K11a347,11,11,,12,1,11,matched,reported_only
K11a348,11,11,,11,0,11,unchecked,reported_only
K11a349,11,11,,11,0,11,unchecked,reported_only
K11a35,11,11,,12,1,11,unchecked,reported_only
K11a350,11,10,,11,1,10,unchecked,reported_only
K11a351,11,10,,11,1,10,unchecked,reported_only
K11a352,11,11,,11,0,11,unchecked,reported_only
K11a353,11,11,,,,11,matched,none
K11a354,11,11,,,,11,unchecked,none
K11a355,11,11,,,,11,unchecked,none
K11a356,11,11,,,,11,matched,none
K11a357,11,11,,,,11,unchecked,none
K11a358,11,12,,,,12,unchecked,none
K11a359,11,11,,,,11,unchecked,none
K11a36,11,11,,,,11,unchecked,none
K11a360,11,11,,,,11,unchecked,none
K11a361,11,11,,,,11,unchecked,none
K11a362,11,11,,12,1,11,unchecked,reported_only
K11a363,11,11,,,,11,unchecked,none
K11a364,11,12,,,,12,unchecked,none
K11a365,11,11,,,,11,matched,none
K11a366,11,11,,,,11,unchecked,none
K11a367,11,12,,,,12,matched,none
K11a37,11,11,,11,0,11,unchecked,reported_only
K11a38,11,11,,,,11,unchecked,none
K11a39,11,11,,,,11,unchecked,none
K11a4,11,11,,,,11,unchecked,none
K11a40,11,11,,,,11,unchecked,none
K11a41,11,11,,12,1,11,unchecked,reported_only
K11a42,11,12,,,,12,unchecked,none
K11a43,11,12,,,,12,unchecked,none
K11a44,11,12,,,,12,unchecked,none
K11a45,11,12,,,,12,unchecked,none
K11a46,11,12,,,,12,matched,none
K11a47,11,11,,,,11,unchecked,none
K11a48,11,11,,,,11,unchecked,none
K11a49,11,11,,,,11,unchecked,none
K11a5,11,11,,,,11,unchecked,none
K11a50,11,12,,,,12,unchecked,none
K11a51,11,12,,,,12,unchecked,none
K11a52,11,11,,,,11,unchecked,none
K11a53,11,11,,12,1,11,unchecked,reported_only
